bench	config	run	wall_seconds
heap_churn	uninstrumented	1	1.67
heap_churn	flexfat_full	1	1.39
heap_churn	flexfat_hardened	1	1.41
array_sum	uninstrumented	1	2.34
array_sum	flexfat_full	1	2.85
array_sum	flexfat_hardened	1	2.84
linked_list	uninstrumented	1	0.62
linked_list	flexfat_full	1	0.64
linked_list	flexfat_hardened	1	0.61
memcpy_bulk	uninstrumented	1	1.21
memcpy_bulk	flexfat_full	1	1.23
memcpy_bulk	flexfat_hardened	1	1.23
opaque_access	uninstrumented	1	3.68
opaque_access	flexfat_full	1	4.48
opaque_access	flexfat_hardened	1	4.09
heap_churn	uninstrumented	2	1.70
heap_churn	flexfat_full	2	1.43
heap_churn	flexfat_hardened	2	1.39
array_sum	uninstrumented	2	2.35
array_sum	flexfat_full	2	2.87
array_sum	flexfat_hardened	2	2.84
linked_list	uninstrumented	2	0.62
linked_list	flexfat_full	2	0.64
linked_list	flexfat_hardened	2	0.61
memcpy_bulk	uninstrumented	2	1.21
memcpy_bulk	flexfat_full	2	1.20
memcpy_bulk	flexfat_hardened	2	1.22
opaque_access	uninstrumented	2	3.69
opaque_access	flexfat_full	2	4.45
opaque_access	flexfat_hardened	2	4.04
heap_churn	uninstrumented	3	1.74
heap_churn	flexfat_full	3	1.38
heap_churn	flexfat_hardened	3	1.39
array_sum	uninstrumented	3	2.36
array_sum	flexfat_full	3	2.85
array_sum	flexfat_hardened	3	2.88
linked_list	uninstrumented	3	0.60
linked_list	flexfat_full	3	0.64
linked_list	flexfat_hardened	3	0.62
memcpy_bulk	uninstrumented	3	1.21
memcpy_bulk	flexfat_full	3	1.22
memcpy_bulk	flexfat_hardened	3	1.23
opaque_access	uninstrumented	3	3.67
opaque_access	flexfat_full	3	4.51
opaque_access	flexfat_hardened	3	4.09
heap_churn	uninstrumented	4	1.74
heap_churn	flexfat_full	4	1.40
heap_churn	flexfat_hardened	4	1.38
array_sum	uninstrumented	4	2.37
array_sum	flexfat_full	4	2.87
array_sum	flexfat_hardened	4	2.87
linked_list	uninstrumented	4	0.60
linked_list	flexfat_full	4	0.63
linked_list	flexfat_hardened	4	0.62
memcpy_bulk	uninstrumented	4	1.23
memcpy_bulk	flexfat_full	4	1.22
memcpy_bulk	flexfat_hardened	4	1.22
opaque_access	uninstrumented	4	3.64
opaque_access	flexfat_full	4	4.51
opaque_access	flexfat_hardened	4	4.07
heap_churn	uninstrumented	5	1.75
heap_churn	flexfat_full	5	1.39
heap_churn	flexfat_hardened	5	1.41
array_sum	uninstrumented	5	2.37
array_sum	flexfat_full	5	2.86
array_sum	flexfat_hardened	5	2.86
linked_list	uninstrumented	5	0.61
linked_list	flexfat_full	5	0.64
linked_list	flexfat_hardened	5	0.62
memcpy_bulk	uninstrumented	5	1.22
memcpy_bulk	flexfat_full	5	1.21
memcpy_bulk	flexfat_hardened	5	1.23
opaque_access	uninstrumented	5	3.70
opaque_access	flexfat_full	5	4.47
opaque_access	flexfat_hardened	5	4.09
heap_churn	uninstrumented	6	1.75
heap_churn	flexfat_full	6	1.45
heap_churn	flexfat_hardened	6	1.42
array_sum	uninstrumented	6	2.36
array_sum	flexfat_full	6	2.86
array_sum	flexfat_hardened	6	2.88
linked_list	uninstrumented	6	0.61
linked_list	flexfat_full	6	0.64
linked_list	flexfat_hardened	6	0.62
memcpy_bulk	uninstrumented	6	1.22
memcpy_bulk	flexfat_full	6	1.23
memcpy_bulk	flexfat_hardened	6	1.20
opaque_access	uninstrumented	6	3.67
opaque_access	flexfat_full	6	4.46
opaque_access	flexfat_hardened	6	4.15
heap_churn	uninstrumented	7	1.74
heap_churn	flexfat_full	7	1.47
heap_churn	flexfat_hardened	7	1.40
array_sum	uninstrumented	7	2.38
array_sum	flexfat_full	7	2.86
array_sum	flexfat_hardened	7	2.87
linked_list	uninstrumented	7	0.60
linked_list	flexfat_full	7	0.64
linked_list	flexfat_hardened	7	0.62
memcpy_bulk	uninstrumented	7	1.22
memcpy_bulk	flexfat_full	7	1.22
memcpy_bulk	flexfat_hardened	7	1.21
opaque_access	uninstrumented	7	3.68
opaque_access	flexfat_full	7	4.44
opaque_access	flexfat_hardened	7	4.09
heap_churn	uninstrumented	8	1.73
heap_churn	flexfat_full	8	1.41
heap_churn	flexfat_hardened	8	1.39
array_sum	uninstrumented	8	2.37
array_sum	flexfat_full	8	2.88
array_sum	flexfat_hardened	8	2.84
linked_list	uninstrumented	8	0.61
linked_list	flexfat_full	8	0.64
linked_list	flexfat_hardened	8	0.62
memcpy_bulk	uninstrumented	8	1.22
memcpy_bulk	flexfat_full	8	1.22
memcpy_bulk	flexfat_hardened	8	1.21
opaque_access	uninstrumented	8	3.68
opaque_access	flexfat_full	8	4.44
opaque_access	flexfat_hardened	8	4.11
heap_churn	uninstrumented	9	1.74
heap_churn	flexfat_full	9	1.38
heap_churn	flexfat_hardened	9	1.38
array_sum	uninstrumented	9	2.37
array_sum	flexfat_full	9	2.89
array_sum	flexfat_hardened	9	2.85
linked_list	uninstrumented	9	0.61
linked_list	flexfat_full	9	0.64
linked_list	flexfat_hardened	9	0.61
memcpy_bulk	uninstrumented	9	1.23
memcpy_bulk	flexfat_full	9	1.21
memcpy_bulk	flexfat_hardened	9	1.21
opaque_access	uninstrumented	9	3.69
opaque_access	flexfat_full	9	4.50
opaque_access	flexfat_hardened	9	4.12
heap_churn	uninstrumented	10	1.72
heap_churn	flexfat_full	10	1.40
heap_churn	flexfat_hardened	10	1.44
array_sum	uninstrumented	10	2.40
array_sum	flexfat_full	10	2.88
array_sum	flexfat_hardened	10	2.84
linked_list	uninstrumented	10	0.61
linked_list	flexfat_full	10	0.64
linked_list	flexfat_hardened	10	0.62
memcpy_bulk	uninstrumented	10	1.23
memcpy_bulk	flexfat_full	10	1.21
memcpy_bulk	flexfat_hardened	10	1.21
opaque_access	uninstrumented	10	3.70
opaque_access	flexfat_full	10	4.51
opaque_access	flexfat_hardened	10	4.11
