bench	config	run	wall_seconds
heap_churn	uninstrumented	1	1.67
heap_churn	flexfat_full	1	1.31
heap_churn	flexfat_hardened	1	1.32
array_sum	uninstrumented	1	2.31
array_sum	flexfat_full	1	2.75
array_sum	flexfat_hardened	1	2.76
linked_list	uninstrumented	1	0.58
linked_list	flexfat_full	1	0.62
linked_list	flexfat_hardened	1	0.59
memcpy_bulk	uninstrumented	1	1.17
memcpy_bulk	flexfat_full	1	1.19
memcpy_bulk	flexfat_hardened	1	1.15
opaque_access	uninstrumented	1	3.55
opaque_access	flexfat_full	1	4.28
opaque_access	flexfat_hardened	1	3.88
heap_churn	uninstrumented	2	1.65
heap_churn	flexfat_full	2	1.29
heap_churn	flexfat_hardened	2	1.31
array_sum	uninstrumented	2	2.27
array_sum	flexfat_full	2	2.73
array_sum	flexfat_hardened	2	2.74
linked_list	uninstrumented	2	0.60
linked_list	flexfat_full	2	0.63
linked_list	flexfat_hardened	2	0.61
memcpy_bulk	uninstrumented	2	1.16
memcpy_bulk	flexfat_full	2	1.16
memcpy_bulk	flexfat_hardened	2	1.17
opaque_access	uninstrumented	2	3.52
opaque_access	flexfat_full	2	4.32
opaque_access	flexfat_hardened	2	3.89
heap_churn	uninstrumented	3	1.63
heap_churn	flexfat_full	3	1.30
heap_churn	flexfat_hardened	3	1.31
array_sum	uninstrumented	3	2.26
array_sum	flexfat_full	3	2.74
array_sum	flexfat_hardened	3	2.72
linked_list	uninstrumented	3	0.62
linked_list	flexfat_full	3	0.63
linked_list	flexfat_hardened	3	0.61
memcpy_bulk	uninstrumented	3	1.15
memcpy_bulk	flexfat_full	3	1.16
memcpy_bulk	flexfat_hardened	3	1.15
opaque_access	uninstrumented	3	3.50
opaque_access	flexfat_full	3	4.26
opaque_access	flexfat_hardened	3	3.91
heap_churn	uninstrumented	4	1.59
heap_churn	flexfat_full	4	1.38
heap_churn	flexfat_hardened	4	1.31
array_sum	uninstrumented	4	2.26
array_sum	flexfat_full	4	2.75
array_sum	flexfat_hardened	4	2.72
linked_list	uninstrumented	4	0.62
linked_list	flexfat_full	4	0.62
linked_list	flexfat_hardened	4	0.61
memcpy_bulk	uninstrumented	4	1.15
memcpy_bulk	flexfat_full	4	1.14
memcpy_bulk	flexfat_hardened	4	1.18
opaque_access	uninstrumented	4	3.50
opaque_access	flexfat_full	4	4.24
opaque_access	flexfat_hardened	4	3.90
heap_churn	uninstrumented	5	1.61
heap_churn	flexfat_full	5	1.28
heap_churn	flexfat_hardened	5	1.35
array_sum	uninstrumented	5	2.27
array_sum	flexfat_full	5	2.75
array_sum	flexfat_hardened	5	2.71
linked_list	uninstrumented	5	0.61
linked_list	flexfat_full	5	0.62
linked_list	flexfat_hardened	5	0.61
memcpy_bulk	uninstrumented	5	1.17
memcpy_bulk	flexfat_full	5	1.15
memcpy_bulk	flexfat_hardened	5	1.14
opaque_access	uninstrumented	5	3.52
opaque_access	flexfat_full	5	4.27
opaque_access	flexfat_hardened	5	3.89
heap_churn	uninstrumented	6	1.62
heap_churn	flexfat_full	6	1.28
heap_churn	flexfat_hardened	6	1.31
array_sum	uninstrumented	6	2.27
array_sum	flexfat_full	6	2.72
array_sum	flexfat_hardened	6	2.73
linked_list	uninstrumented	6	0.61
linked_list	flexfat_full	6	0.63
linked_list	flexfat_hardened	6	0.62
memcpy_bulk	uninstrumented	6	1.17
memcpy_bulk	flexfat_full	6	1.16
memcpy_bulk	flexfat_hardened	6	1.15
opaque_access	uninstrumented	6	3.52
opaque_access	flexfat_full	6	4.24
opaque_access	flexfat_hardened	6	3.87
heap_churn	uninstrumented	7	1.66
heap_churn	flexfat_full	7	1.35
heap_churn	flexfat_hardened	7	1.32
array_sum	uninstrumented	7	2.28
array_sum	flexfat_full	7	2.71
array_sum	flexfat_hardened	7	2.75
linked_list	uninstrumented	7	0.60
linked_list	flexfat_full	7	0.62
linked_list	flexfat_hardened	7	0.61
memcpy_bulk	uninstrumented	7	1.16
memcpy_bulk	flexfat_full	7	1.16
memcpy_bulk	flexfat_hardened	7	1.16
opaque_access	uninstrumented	7	3.51
opaque_access	flexfat_full	7	4.24
opaque_access	flexfat_hardened	7	3.90
heap_churn	uninstrumented	8	1.68
heap_churn	flexfat_full	8	1.40
heap_churn	flexfat_hardened	8	1.32
array_sum	uninstrumented	8	2.26
array_sum	flexfat_full	8	2.73
array_sum	flexfat_hardened	8	2.83
linked_list	uninstrumented	8	0.63
linked_list	flexfat_full	8	0.66
linked_list	flexfat_hardened	8	0.62
memcpy_bulk	uninstrumented	8	1.22
memcpy_bulk	flexfat_full	8	1.24
memcpy_bulk	flexfat_hardened	8	1.27
opaque_access	uninstrumented	8	3.74
opaque_access	flexfat_full	8	4.46
opaque_access	flexfat_hardened	8	4.12
heap_churn	uninstrumented	9	1.65
heap_churn	flexfat_full	9	1.32
heap_churn	flexfat_hardened	9	1.33
array_sum	uninstrumented	9	2.28
array_sum	flexfat_full	9	2.72
array_sum	flexfat_hardened	9	2.75
linked_list	uninstrumented	9	0.58
linked_list	flexfat_full	9	0.63
linked_list	flexfat_hardened	9	0.61
memcpy_bulk	uninstrumented	9	1.19
memcpy_bulk	flexfat_full	9	1.14
memcpy_bulk	flexfat_hardened	9	1.16
opaque_access	uninstrumented	9	3.51
opaque_access	flexfat_full	9	4.25
opaque_access	flexfat_hardened	9	3.90
heap_churn	uninstrumented	10	1.64
heap_churn	flexfat_full	10	1.31
heap_churn	flexfat_hardened	10	1.33
array_sum	uninstrumented	10	2.27
array_sum	flexfat_full	10	2.73
array_sum	flexfat_hardened	10	2.74
linked_list	uninstrumented	10	0.61
linked_list	flexfat_full	10	0.62
linked_list	flexfat_hardened	10	0.61
memcpy_bulk	uninstrumented	10	1.16
memcpy_bulk	flexfat_full	10	1.16
memcpy_bulk	flexfat_hardened	10	1.15
opaque_access	uninstrumented	10	3.51
opaque_access	flexfat_full	10	4.26
opaque_access	flexfat_hardened	10	3.89
